Run ID,Algorithm (mathcalM),Scenario (mathcalS),Data Source,Instances,Instance Size,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (mathcalL),Avg Throughput (mathcalT),Energy Consumed,Mission Duration,Total Computation Time (ms)
23,LKH,4 Instances of 150 (LKH),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,4,150,1,8074.558514897081,65275,65275,288.1000000000345,146.85039370077664,444.0,444.50000000003257,280217.4599170685
24,PSO,4 Instances of 150 (PSO),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,4,150,1,5825.806986275209,53104,53104,211.57500000001107,159.18465227817396,333.0,333.60000000000736,79826.04122161865
25,LKH,6 Instances of 150 (LKH),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,6,150,1,11762.955036962292,93216,93216,384.9833333334002,143.91848077812054,647.0,647.7000000000787,340919.61216926575
26,PSO,6 Instances of 150 (PSO),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,6,150,1,8653.945547135992,73358,73358,295.0500000000424,148.43787940103903,494.0,494.2000000000439,133553.76863479614
27,LKH,8 Instances of 150 (LKH),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,8,150,1,16057.759264375461,128106,128106,513.0500000001011,145.17905711693203,882.0,882.4000000001321,473833.5680961609
28,PSO,8 Instances of 150 (PSO),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,8,150,1,12214.756135804857,97717,97717,410.6750000000748,140.9447569594511,693.0,693.3000000000891,178510.6701850891
29,LKH,10 Instances of 150 (LKH),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,10,150,1,20357.246832260826,147466,147466,638.6800000000245,131.76018584702447,1119.0,1119.2000000000776,783682.0170879364
30,PSO,10 Instances of 150 (PSO),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,10,150,1,16634.81888906017,105338,105338,540.5100000001081,112.46850309628844,936.0,936.6000000001444,222019.64282989502
31,LKH,2 Instances of 200 (LKH),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,2,200,1,3701.351565186859,32000,32000,164.74999999999278,148.07959278112534,216.0,216.099999999992,737887.5842094421
32,PSO,2 Instances of 200 (PSO),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,2,200,1,3653.969940480462,38177,38177,170.49999999999247,177.6500697999135,214.0,214.89999999999208,61542.21415519714
33,LKH,4 Instances of 200 (LKH),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,4,200,1,7841.649956723913,67181,67181,294.1750000000359,148.56479433877686,452.0,452.2000000000343,915318.861246109
34,PSO,4 Instances of 200 (PSO),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,4,200,1,6641.443301474763,70750,70750,253.02500000002445,179.38640973629867,394.0,394.4000000000212,123581.6879272461
35,LKH,6 Instances of 200 (LKH),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,6,200,1,11535.570391681214,103221,103221,394.2166666667356,155.5704596834773,663.0,663.5000000000823,1139301.9242286682
36,PSO,6 Instances of 200 (PSO),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,6,200,1,10749.4780530352,105724,105724,371.3333333333957,168.67262284618303,626.0,626.800000000074,185731.87923431396
37,LKH,8 Instances of 200 (LKH),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,8,200,1,15756.959942306281,146020,146020,524.6000000001037,161.59805223547795,903.0,903.6000000001369,1441106.146812439
38,PSO,8 Instances of 200 (PSO),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,8,200,1,14602.916242279825,138398,138398,488.6500000000945,163.05136663522586,848.0,848.8000000001244,248748.78883361816
39,LKH,10 Instances of 200 (LKH),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,10,200,1,19101.4359791,175042,175042,610.170000000038,158.9123921924513,1101.0,1101.5000000000937,2009644.1202163696
40,PSO,10 Instances of 200 (PSO),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,10,200,1,15603.018803863217,160946,160946,529.1900000001067,172.81864060987357,931.0,931.3000000001432,305134.8829269409
