Run ID,Algorithm (mathcalM),Scenario (mathcalS),Data Source,Instances,Instance Size,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (mathcalL),Avg Throughput (mathcalT),Energy Consumed,Mission Duration,Total Computation Time (ms)
55,CRL-HA,6 Instances of 200 (CRL-HA),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,6,200,1,10326.40492792069,118677,118677,347.6500000000564,205.00431853513055,578,578.9000000000631,1711.7347717285156
56,CRL-FD,6 Instances of 200 (CRL-FD),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,6,200,1,10828.97248182493,120875,120875,339.28333333339043,202.267402945091,597,597.6000000000673,1625.0662803649902
57,CRL-U,6 Instances of 200 (CRL-U),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,6,200,1,10075.794307358365,124136,124136,339.6333333333882,219.78753541074158,564,564.8000000000599,1602.9703617095947
58,CRL-AM,8 Instances of 200 (CRL-AM),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,8,200,1,250963.31576065556,730108,730108,8111.512500023094,57.85370724002236,12619,12619.90000002838,2147.048234939575
59,CRL-HA,8 Instances of 200 (CRL-HA),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,8,200,1,14044.092657354864,159048,159048,458.6375000000873,202.58311043176374,785,785.10000000011,2090.2657508850098
60,CRL-FD,8 Instances of 200 (CRL-FD),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,8,200,1,14684.095969436927,166968,166968,457.687500000089,205.92994573258036,810,810.8000000001158,2120.5921173095703
61,CRL-U,8 Instances of 200 (CRL-U),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,8,200,1,13909.130795988769,165741,165741,458.2750000000874,213.00732553653376,778,778.1000000001084,2048.0101108551025
62,CRL-AM,10 Instances of 200 (CRL-AM),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,10,200,1,344182.48706679745,1233064,1233064,10835.260000017659,71.28320451367198,17298,17298.10000002877,2497.9259967803955
63,CRL-HA,10 Instances of 200 (CRL-HA),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,10,200,1,17881.997354759642,197432,197432,571.8700000001164,197.64941435576,998,998.9000000001586,2658.034086227417
64,CRL-FD,10 Instances of 200 (CRL-FD),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,10,200,1,18183.028685186877,209725,209725,557.2200000001146,207.75136206039284,1009,1009.500000000161,2605.08131980896
