time,energy
331,49669.0
332,49668.0
333,49667.0
334,49666.0
335,49665.0
336,49664.0
337,49663.0
338,49662.0
339,49661.0
340,49660.0
341,49659.0
342,49658.0
343,49657.0
344,49656.0
345,49655.0
346,49654.0
347,49653.0
348,49652.0
349,49651.0
350,49650.0
351,49649.0
352,49648.0
353,49647.0
354,49646.0
355,49645.0
356,49644.0
357,49643.0
358,49642.0
359,49641.0
360,49640.0
361,49639.0
362,49638.0
363,49637.0
364,49636.0
365,49635.0
366,49634.0
367,49633.0
368,49632.0
369,49631.0
370,49630.0
371,49629.0
372,49628.0
373,49627.0
374,49626.0
375,49625.0
376,49624.0
377,49623.0
378,49622.0
379,49621.0
380,49620.0
381,49619.0
382,49618.0
383,49617.0
384,49616.0
385,49615.0
386,49614.0
387,49613.0
388,49612.0
389,49611.0
390,49610.0
391,49609.0
392,49608.0
393,49607.0
394,49606.0
395,49605.0
396,49604.0
397,49603.0
398,49602.0
399,49601.0
400,49600.0
401,49599.0
402,49598.0
403,49597.0
404,49596.0
405,49595.0
406,49594.0
407,49593.0
408,49592.0
409,49591.0
410,49590.0
411,49589.0
412,49588.0
413,49587.0
414,49586.0
415,49585.0
416,49584.0
417,49583.0
418,49582.0
419,49581.0
420,49580.0
421,49579.0
422,49578.0
423,49577.0
424,49576.0
425,49575.0
426,49574.0
427,49573.0
428,49572.0
429,49571.0
430,49570.0
431,49569.0
432,49568.0
433,49567.0
434,49566.0
435,49565.0
436,49564.0
437,49563.0
438,49562.0
439,49561.0
440,49560.0
441,49559.0
442,49558.0
443,49557.0
444,49556.0
445,49555.0
446,49554.0
447,49553.0
448,49552.0
449,49551.0
450,49550.0
451,49549.0
452,49548.0
453,49547.0
454,49546.0
455,49545.0
456,49544.0
457,49543.0
458,49542.0
459,49541.0
460,49540.0
461,49539.0
462,49538.0
463,49537.0
464,49536.0
465,49535.0
466,49534.0
467,49533.0
468,49532.0
469,49531.0
470,49530.0
471,49529.0
472,49528.0
473,49527.0
474,49526.0
475,49525.0
476,49524.0
477,49523.0
478,49522.0
479,49521.0
480,49520.0
481,49519.0
482,49518.0
483,49517.0
484,49516.0
485,49515.0
486,49514.0
487,49513.0
488,49512.0
489,49511.0
490,49510.0
491,49509.0
492,49508.0
493,49507.0
494,49506.0
495,49505.0
496,49504.0
497,49503.0
498,49502.0
499,49501.0
500,49500.0
501,49499.0
502,49498.0
503,49497.0
504,49496.0
505,49495.0
506,49494.0
507,49493.0
508,49492.0
509,49491.0
510,49490.0
511,49489.0
512,49488.0
513,49487.0
514,49486.0
515,49485.0
516,49484.0
517,49483.0
518,49482.0
519,49481.0
520,49480.0
521,49479.0
522,49478.0
523,49477.0
524,49476.0
525,49475.0
526,49474.0
527,49473.0
528,49472.0
529,49471.0
530,49470.0
531,49469.0
532,49468.0
533,49467.0
534,49466.0
535,49465.0
536,49464.0
537,49463.0
538,49462.0
539,49461.0
540,49460.0
541,49459.0
542,49458.0
543,49457.0
544,49456.0
545,49455.0
546,49454.0
547,49453.0
548,49452.0
549,49451.0
550,49450.0
551,49449.0
552,49448.0
553,49447.0
554,49446.0
555,49445.0
556,49444.0
557,49443.0
558,49442.0
559,49441.0
560,49440.0
561,49439.0
562,49438.0
563,49437.0
564,49436.0
565,49435.0
566,49434.0
567,49433.0
568,49432.0
569,49431.0
570,49430.0
571,49429.0
572,49428.0
573,49427.0
574,49426.0
575,49425.0
576,49424.0
577,49423.0
578,49422.0
579,49421.0
580,49420.0
581,49419.0
582,49418.0
583,49417.0
584,49416.0
585,49415.0
586,49414.0
587,49413.0
588,49412.0
589,49411.0
590,49410.0
591,49409.0
592,49408.0
593,49407.0
594,49406.0
595,49405.0
596,49404.0
597,49403.0
598,49402.0
599,49401.0
600,49400.0
601,49399.0
602,49398.0
603,49397.0
604,49396.0
605,49395.0
606,49394.0
607,49393.0
608,49392.0
609,49391.0
610,49390.0
611,49389.0
612,49388.0
613,49387.0
614,49386.0
615,49385.0
616,49384.0
617,49383.0
618,49382.0
619,49381.0
620,49380.0
621,49379.0
622,49378.0
623,49377.0
624,49376.0
625,49375.0
626,49374.0
627,49373.0
628,49372.0
629,49371.0
630,49370.0
631,49369.0
632,49368.0
633,49367.0
634,49366.0
635,49365.0
636,49364.0
637,49363.0
638,49362.0
639,49361.0
640,49360.0
641,49359.0
642,49358.0
643,49357.0
644,49356.0
645,49355.0
646,49354.0
647,49353.0
648,49352.0
649,49351.0
650,49350.0
651,49349.0
652,49348.0
653,49347.0
654,49346.0
655,49345.0
656,49344.0
657,49343.0
658,49342.0
659,49341.0
660,49340.0
661,49339.0
662,49338.0
663,49337.0
664,49336.0
665,49335.0
666,49334.0
667,49333.0
668,49332.0
669,49331.0
670,49330.0
671,49329.0
672,49328.0
673,49327.0
674,49326.0
675,49325.0
676,49324.0
677,49323.0
678,49322.0
679,49321.0
680,49320.0
681,49319.0
682,49318.0
683,49317.0
684,49316.0
685,49315.0
686,49314.0
687,49313.0
688,49312.0
689,49311.0
690,49310.0
691,49309.0
692,49308.0
693,49307.0
694,49306.0
695,49305.0
696,49304.0
697,49303.0
698,49302.0
699,49301.0
700,49300.0
701,49299.0
702,49298.0
703,49297.0
704,49296.0
705,49295.0
706,49294.0
707,49293.0
708,49292.0
709,49291.0
710,49290.0
711,49289.0
712,49288.0
