Run ID,Algorithm,Scenario,Num Devices,Instance ID,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (s),Avg Throughput (pkt/s),Energy Consumed (J),Mission Duration (s)
28,CRL-AM,factory,49,7,1,1487.4785904524886,6780,1769,57.99183154324161,12.703770197484863,60.0,139.25000000001833
29,CRL-AM,factory,49,8,1,2373.5921222923557,9261,3268,89.38952264383002,16.983681529989138,95.0,192.41999999996997
30,CRL-AM,factory,49,9,1,1414.9303123468005,6615,1514,53.71731836195253,11.223128243141215,57.0,134.9000000000223
31,CRL-AM,forest,49,1,1,3458.7593244143686,12642,3443,135.86974731340916,13.369316196175951,139.0,257.5299999999108
32,CRL-AM,forest,49,10,1,3326.412039999843,12250,3293,132.09537200123924,13.193637565611931,134.0,249.58999999991798
33,CRL-AM,forest,49,2,1,3390.8082529722724,12446,3182,134.27226901322146,12.554744525551682,136.0,253.44999999991447
34,CRL-AM,forest,49,3,1,3322.588314010182,12250,3412,131.80036342323683,13.683028553100415,134.0,249.3599999999182
35,CRL-AM,forest,49,4,1,3391.3290813750914,12328,3266,133.25412124925668,12.884645731423001,136.0,253.47999999991444
36,CRL-AM,forest,49,5,1,3008.7754821176704,11209,3029,118.8100957411931,13.139287728282001,121.0,230.5299999999353
37,CRL-AM,forest,49,6,1,3514.7279090785087,12669,3392,136.51755896228187,13.001648204228601,141.0,260.88999999990773
38,CRL-AM,forest,49,7,1,3058.3041036830673,11355,3082,120.96585983130379,13.199143468954558,123.0,233.4999999999326
39,CRL-AM,forest,49,8,1,3438.037596758636,12593,3178,135.67054122091412,12.400015607324095,138.0,256.2899999999119
40,CRL-AM,forest,49,9,1,3095.4895845068054,11342,3410,120.23909090911705,14.465702286518493,125.0,235.72999999993058
41,CRL-AM,urban,49,1,1,2542.26412181063,9947,2377,99.52966344132741,11.735953391924856,102.0,202.53999999996077
42,CRL-AM,urban,49,10,1,9301.41095218925,29841,11311,317.9681823002231,18.60086500354814,372.0,608.089999999592
43,CRL-AM,urban,49,2,1,2600.037472371993,10143,2603,101.50251632733061,12.635308965586795,105.0,206.0099999999576
44,CRL-AM,urban,49,3,1,2639.849775113332,9932,2874,102.89904662492977,13.790786948179532,106.0,208.39999999995544
45,CRL-AM,urban,49,4,1,2930.9026528540858,11074,2378,114.75605550885368,10.528646063936227,118.0,225.85999999993956
46,CRL-AM,urban,49,5,1,2547.1003510411397,9947,3564,99.27051627386454,17.571365182668707,103.0,202.8299999999605
47,CRL-AM,urban,49,6,1,2323.3661257636636,9214,2169,91.86282157677383,11.451348925612757,94.0,189.4099999999727
48,CRL-AM,urban,49,7,1,2556.94719211554,9996,2746,99.54349599418843,13.49916429063288,103.0,203.41999999995997
49,CRL-AM,urban,49,8,1,2710.3364469090543,10437,2248,106.75704626336345,10.572355735317274,109.0,212.6299999999516
50,CRL-AM,urban,49,9,1,2437.7332629334096,9653,2616,95.06411314985978,13.328577979316487,98.0,196.26999999996647
51,CRL-AM,agriculture,99,1,1,5769.9616230479505,39303,11575,226.85015118784108,29.215042907638292,231.0,396.19999999978467
52,CRL-AM,agriculture,99,10,1,5674.90452779003,38709,11602,222.12718324420786,29.710627400784233,227.0,390.49999999978985
53,CRL-AM,agriculture,99,2,1,5576.8126386479,37953,11468,219.00972793855493,29.817217441060052,223.0,384.6099999997952
54,CRL-AM,agriculture,99,3,1,5595.957380363717,38214,11302,220.1621235179039,29.298009124860098,224.0,385.75999999979416
55,CRL-AM,agriculture,99,4,1,5753.1317910771495,39204,11460,226.00635253047778,28.998709481530955,230.0,395.1899999997856
56,CRL-AM,agriculture,99,5,1,5556.639552696601,38016,11698,217.28968541625434,30.511215440809117,222.0,383.3999999997963
57,CRL-AM,agriculture,99,6,1,5618.454802027464,38249,11421,220.99034760523017,29.50324197258172,225.0,387.10999999979293
58,CRL-AM,agriculture,99,7,1,5635.445826364457,38511,11599,220.6477886024067,29.884317110262582,226.0,388.129999999792
59,CRL-AM,agriculture,99,8,1,5636.475485571381,38511,11617,220.10304553665446,29.926067132090537,226.0,388.18999999979195
60,CRL-AM,agriculture,99,9,1,5567.026019472811,38115,11442,219.28968886552636,29.794547301007956,223.0,384.02999999979573
61,CRL-AM,custom_hybrid,99,1,1,3845.1939310310904,27565,8901,143.40731490844354,31.70775149616521,154.0,280.7199999998897
62,CRL-AM,custom_hybrid,99,10,1,3547.653562552481,23859,7657,128.6519589917893,29.129574678546525,142.0,262.85999999990594
63,CRL-AM,custom_hybrid,99,2,1,3479.332593807969,25641,8565,131.25136602453819,33.100170041749074,139.0,258.75999999990967
64,CRL-AM,custom_hybrid,99,3,1,4391.556445341592,30948,9602,164.8077400541417,30.628389154718633,176.0,313.4999999998599
65,CRL-AM,custom_hybrid,99,4,1,3124.2976877360566,22206,9843,105.68343797625306,41.45119177968055,125.0,237.459999999929
66,CRL-AM,custom_hybrid,99,5,1,4484.582320313631,31116,12058,164.28194393761788,37.789895950875916,179.0,319.0799999998548
67,CRL-AM,custom_hybrid,99,6,1,4006.061323744123,28285,9750,153.7778461538468,33.57784895135172,160.0,290.3699999998809
68,CRL-AM,custom_hybrid,99,7,1,3409.2530624111005,25245,8495,124.68772807536068,33.37130735387684,136.0,254.55999999991346
69,CRL-AM,custom_hybrid,99,8,1,3393.826440655086,25028,7689,123.6784627390006,30.315814375281306,136.0,253.6299999999143
70,CRL-AM,custom_hybrid,99,9,1,3756.2220260254812,27324,10209,141.94533744736026,37.07240903480249,150.0,275.37999999989455
71,CRL-AM,factory,99,1,1,2606.3300008790684,20493,7009,93.86589385077882,33.96162418839738,104.0,206.37999999995728
72,CRL-AM,factory,99,10,1,2908.8973186361845,22275,6554,103.57608788528306,29.188563284945797,117.0,224.53999999994076
73,CRL-AM,factory,99,2,1,2883.4819239816115,21958,6650,103.92669172934467,29.819290614778375,115.0,223.00999999994215
74,CRL-AM,factory,99,3,1,4064.572438175059,28975,9766,133.98759574032192,33.23125085070118,163.0,293.8799999998777
75,CRL-AM,factory,99,4,1,2872.9437754562323,22077,6892,106.84721416136765,30.991995683073007,115.0,222.37999999994273
76,CRL-AM,factory,99,5,1,2077.71092596467,17049,3822,77.92343799058578,21.881261807982504,83.0,174.66999999998612
77,CRL-AM,factory,99,6,1,3349.541117722257,24732,8507,116.91959680265767,33.89513108615357,134.0,250.9799999999167
78,CRL-AM,factory,99,7,1,4181.876868443269,29397,10149,130.7014779781202,33.72657184635232,167.0,300.9199999998713
79,CRL-AM,factory,99,8,1,3387.878208438367,22528,10092,109.23845025765284,39.845230574871294,135.0,253.27999999991462
80,CRL-AM,factory,99,9,1,3178.0623401592125,23745,7863,120.43843825514641,32.668577838723735,127.0,240.68999999992607
81,CRL-AM,forest,99,1,1,5816.237599725637,39335,12602,226.93642278996785,31.585543135011484,233.0,398.97999999978214
82,CRL-AM,forest,99,10,1,5408.810844074936,36807,10958,211.8686913669871,29.258003364231765,216.0,374.5299999998044
83,CRL-AM,forest,99,2,1,5174.356637458101,35277,11066,202.15264413514672,30.698809887107423,207.0,360.46999999981716
84,CRL-AM,forest,99,3,1,5290.499408050817,35808,11290,204.72285208144174,30.72694118609208,212.0,367.42999999981083
85,CRL-AM,forest,99,4,1,5015.984907983807,34749,10753,196.90894169065456,30.638819238674884,201.0,350.9599999998258
86,CRL-AM,forest,99,5,1,5222.518064370302,35881,11129,205.4723964416849,30.628027300764202,209.0,363.35999999981453
87,CRL-AM,forest,99,6,1,5107.18019834851,35343,10989,200.64265356261384,30.82987319045428,204.0,356.4399999998208
88,CRL-AM,forest,99,7,1,5445.897988949595,37323,11072,215.4148229768266,29.387408429785033,218.0,376.75999999980235
89,CRL-AM,forest,99,8,1,5263.331097784733,36079,10681,206.03992978181026,29.19901585567381,211.0,365.7999999998123
90,CRL-AM,forest,99,9,1,5053.018789495692,34894,10632,196.71702407821655,30.102777541848027,202.0,353.1899999998238
91,CRL-AM,urban,99,1,1,4243.4591561812595,28980,7936,163.25864919354012,26.052985785113556,170.0,304.60999999986797
92,CRL-AM,urban,99,10,1,4282.818158806604,29713,9374,165.0386217196405,30.5371860442522,171.0,306.9699999998658
93,CRL-AM,urban,99,2,1,4694.737285030203,32292,10762,178.96689091244502,32.44595857579392,188.0,331.68999999984334
94,CRL-AM,urban,99,3,1,4281.541419755418,29713,9186,163.24576964945717,29.931573802554624,171.0,306.8999999998659
95,CRL-AM,urban,99,4,1,4323.626261128938,30553,9409,164.79906685087656,30.408506237489974,173.0,309.4199999998636
96,CRL-AM,urban,99,5,1,4318.689531245293,30138,10705,161.84659971974642,34.62944392328378,172.0,309.12999999986386
97,CRL-AM,urban,99,6,1,5961.370842348347,40222,12998,228.68352823504276,31.88206725700213,238.0,407.6899999997742
98,CRL-AM,urban,99,7,1,3818.680489619831,27720,8575,146.41530612245649,30.7204528356083,152.0,279.12999999989114
99,CRL-AM,urban,99,8,1,4300.702329144874,30180,8949,165.34252095205133,29.050478818386388,172.0,308.04999999986484
100,CRL-AM,urban,99,9,1,5016.167029306901,34598,11546,192.48498874065334,32.89646133684464,200.0,350.9799999998258
