Run ID,Algorithm,Scenario,Num Devices,Instance ID,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (s),Avg Throughput (pkt/s),Energy Consumed (J),Mission Duration (s)
413,CRL-FD,custom_hybrid,149,2,1,3548.251693044085,39187,11066,134.43094704502016,42.09205020922008,142,262.8999999999059
414,CRL-FD,custom_hybrid,149,3,1,3681.9261741085875,40255,14247,133.87891485928108,52.587479698823756,147,270.9199999998986
415,CRL-FD,custom_hybrid,149,4,1,3788.671547002425,41422,14992,138.2646371398164,54.058342047401275,151,277.3299999998928
416,CRL-FD,custom_hybrid,149,5,1,3489.6232758156816,37409,13592,125.50468510890701,52.40188140953336,139,259.3799999999091
417,CRL-FD,custom_hybrid,149,6,1,4135.406930934555,44551,9825,156.0886259541944,32.95542213129895,165,298.12999999987386
418,CRL-FD,custom_hybrid,149,7,1,3504.3437828003935,38768,11034,129.38630052566685,42.394436546678016,140,260.2699999999083
419,CRL-FD,custom_hybrid,149,8,1,3868.2505909708934,41909,14631,145.12673569818077,51.86458702589786,154,282.09999999988844
420,CRL-FD,custom_hybrid,149,9,1,3605.74100721673,37815,14248,128.43181078047576,53.49352355924611,144,266.34999999990276
421,CRL-FD,factory,149,1,1,2184.818852318519,26358,7816,76.3029785056365,43.16085924126595,87,181.08999999998028
422,CRL-FD,factory,149,10,1,2787.4706254189655,32482,11948,89.2307398728012,54.996547756054746,111,217.2499999999474
423,CRL-FD,factory,149,2,1,2932.270008283665,32039,7381,109.00306327058189,32.66796494645471,117,225.9399999999395
424,CRL-FD,factory,149,3,1,2811.179096013577,32631,10145,93.9702562839036,46.39198829340818,112,218.6799999999461
425,CRL-FD,factory,149,4,1,2502.1249340957374,29949,8072,95.9002725470898,40.3337830410308,100,200.12999999996296
426,CRL-FD,factory,149,5,1,2416.6777286470538,28504,10724,77.1633159269047,54.99205168966607,96,195.00999999996762
427,CRL-FD,factory,149,6,1,1946.4379572777304,24883,7003,70.33062687419898,41.986929672044376,78,166.78999999999328
428,CRL-FD,factory,149,7,1,2608.9105048706915,30740,7575,94.14095709572541,36.67570446403395,104,206.53999999995713
429,CRL-FD,factory,149,8,1,2136.9841996856776,26577,5583,80.77933010926633,31.326450454497454,85,178.2199999999829
430,CRL-FD,factory,149,9,1,2529.1255466066323,27068,8502,93.43332392379666,42.14126394052849,101,201.7499999999615
431,CRL-FD,forest,149,1,1,5419.975560126596,55864,15421,211.2420549898981,41.100746268678215,216,375.19999999980377
432,CRL-FD,forest,149,10,1,5546.812329433689,56423,18197,217.17761389234445,47.53533084300216,222,382.80999999979684
433,CRL-FD,forest,149,2,1,5339.442290781962,55121,16111,210.18541431315424,43.49974349976603,213,370.36999999980816
434,CRL-FD,forest,149,3,1,5613.900714797532,57500,16981,220.8663465048594,43.89670147867097,224,386.8399999997932
435,CRL-FD,forest,149,4,1,5414.367249842394,55398,16884,211.6004975123873,45.03961373278423,216,374.86999999980407
436,CRL-FD,forest,149,5,1,5143.2073806031885,53029,15750,202.75196825392752,43.9208031232793,205,358.59999999981886
437,CRL-FD,forest,149,6,1,5405.68150752019,55557,16569,212.80666183832247,44.260718578893155,216,374.34999999980454
438,CRL-FD,forest,149,7,1,5556.829891371022,57216,16268,219.6510400786262,42.42977491460484,222,383.4099999997963
439,CRL-FD,forest,149,8,1,5505.249443888608,56125,16770,216.44502683357763,44.094446781680844,220,380.3199999997991
440,CRL-FD,forest,149,9,1,5577.82061591553,57365,16510,219.3329618412518,42.91990537345983,223,384.66999999979515
441,CRL-FD,urban,149,1,1,4464.107939282787,47382,13288,173.76665562912294,41.805883278294864,178,317.8499999998559
442,CRL-FD,urban,149,10,1,4477.925458849709,47531,14710,173.4622569680325,46.15915652066865,179,318.67999999985517
443,CRL-FD,urban,149,2,1,4541.856020588661,47843,14283,177.08820205837225,44.28562569765152,181,322.5199999998517
444,CRL-FD,urban,149,3,1,4227.619277818699,44891,13216,164.4901634382493,43.52236053482747,169,303.65999999986883
445,CRL-FD,urban,149,4,1,4494.272877635463,47539,11851,175.23213905997795,37.07376587626041,179,319.6599999998543
446,CRL-FD,urban,149,5,1,4045.918425160905,43657,11528,157.67640874392694,39.37696406614556,162,292.75999999987874
447,CRL-FD,urban,149,6,1,4483.180180963393,47531,12668,174.27630880958233,39.71159874609957,179,318.9999999998549
448,CRL-FD,urban,149,7,1,4356.68731607382,43866,14013,167.92735388566544,44.99855495971941,174,311.4099999998618
449,CRL-FD,urban,149,8,1,4608.629020707969,48151,14492,178.24484405186962,44.3831924537754,184,326.51999999984804
450,CRL-FD,urban,149,9,1,4165.744435113919,44566,12934,161.48468687180574,43.120520086699486,166,299.9499999998722
451,CRL-U,agriculture,149,1,1,7001.003086929877,69797,21682,275.9900313623124,46.12504520606087,280,470.0699999997175
452,CRL-U,agriculture,149,10,1,6893.524898891848,68758,21206,272.2934433649812,45.74004572713139,275,463.61999999972335
453,CRL-U,agriculture,149,2,1,6635.290517497723,66533,20404,261.4937874925538,45.53244666609827,265,448.11999999973744
454,CRL-U,agriculture,149,3,1,6931.960450041159,69056,20703,273.27000144896,44.43466689563098,277,465.91999999972126
455,CRL-U,agriculture,149,4,1,6804.163400030048,68017,20902,268.8070318628788,45.61265684672645,272,458.24999999972823
456,CRL-U,agriculture,149,5,1,6860.018312465327,68462,20765,271.6075294966464,44.9838608349307,274,461.6099999997252
457,CRL-U,agriculture,149,6,1,6992.6576936524725,69648,22116,276.27886417062854,47.099412215719575,279,469.55999999971795
458,CRL-U,agriculture,149,7,1,6818.125612139565,68164,20489,268.62815266718343,44.62959332595387,272,459.08999999972747
459,CRL-U,agriculture,149,8,1,6771.533849319587,67719,21190,268.21076451146234,46.43874643877392,270,456.29999999973
460,CRL-U,agriculture,149,9,1,6796.742163909759,67868,20636,268.10677069189416,45.07546798893041,271,457.80999999972863
461,CRL-U,custom_hybrid,149,1,1,8368.826590522991,82397,38665,268.7535911029078,70.02879756583596,333,552.1299999996429
462,CRL-U,custom_hybrid,149,10,1,5033.764135349692,50773,19592,180.65392813389573,55.65434764085376,201,352.02999999982484
463,CRL-U,custom_hybrid,149,2,1,4269.169105051816,45743,14952,158.93132423755185,48.83720930234687,170,306.15999999986656
464,CRL-U,custom_hybrid,149,3,1,15333.323500741199,144172,65465,482.0476728018508,67.48969072170077,612,969.9999999992629
465,CRL-U,custom_hybrid,149,4,1,8757.207053539789,85824,36203,287.77084219522703,62.91359655224489,349,575.4399999996217
466,CRL-U,custom_hybrid,149,5,1,7158.839160595971,69386,31444,265.1837310773576,65.57117237356444,286,479.53999999970887
467,CRL-U,custom_hybrid,149,6,1,4807.555146766221,50511,18410,179.63398696357856,54.39342906106735,192,338.4599999998372
468,CRL-U,custom_hybrid,149,7,1,6416.467384503421,64636,28579,234.3720924454154,65.70036092787528,256,434.9899999997494
